Inspection Task ID,Inspection Task,Product ID,Targeted/related Product,Production Task ID,Corresponding Production Task,Frequency ID,Frequency,Tool ID,Tool,Person ID,Person,Production Phase,Phase ID
1,rebar sampling for test,1,rebar/reinforcement bar,1,steel material on factory,1,as per bd requiement,1,digital vernier scale,0,,structure,1
2,corner cast sampling for test,2,coner casting,1,steel material on factory,1,as per bd requiement,1,digital vernier scale,0,,structure,1
3,"material grade check for board, profile",3,promatect hboard,2,"board, profile pretreatment and punching",2,routine,2,mill certificate,0,,structure,1
3,"material grade check for board, profile",4,knauf frp board,2,"board, profile pretreatment and punching",2,routine,2,mill certificate,0,,structure,1
3,"material grade check for board, profile",5,gemtree frp board,2,"board, profile pretreatment and punching",2,routine,2,mill certificate,0,,structure,1
3,"material grade check for board, profile",6,gypsum board,2,"board, profile pretreatment and punching",2,routine,2,mill certificate,0,,structure,1
3,"material grade check for board, profile",7,cement board,2,"board, profile pretreatment and punching",2,routine,2,mill certificate,0,,structure,1
3,"material grade check for board, profile",8,corrugated profile,2,"board, profile pretreatment and punching",2,routine,2,mill certificate,0,,structure,1
4,"dimension check for board, profile",3,promatect hboard,2,"board, profile pretreatment and punching",2,routine,3,tape measure,0,,structure,1
4,"dimension check for board, profile",4,knauf frp board,2,"board, profile pretreatment and punching",2,routine,3,tape measure,0,,structure,1
4,"dimension check for board, profile",5,gemtree frp board,2,"board, profile pretreatment and punching",2,routine,3,tape measure,0,,structure,1
4,"dimension check for board, profile",6,gypsum board,2,"board, profile pretreatment and punching",2,routine,3,tape measure,0,,structure,1
4,"dimension check for board, profile",7,cement board,2,"board, profile pretreatment and punching",2,routine,3,tape measure,0,,structure,1
4,"dimension check for board, profile",8,corrugated profile,2,"board, profile pretreatment and punching",2,routine,3,tape measure,0,,structure,1
5,"visual inspection for board, profile pretreatment and punching",3,promatect hboard,2,"board, profile pretreatment and punching",2,routine,4,N/A,0,,structure,1
5,"visual inspection for board, profile pretreatment and punching",4,knauf frp board,2,"board, profile pretreatment and punching",2,routine,4,N/A,0,,structure,1
5,"visual inspection for board, profile pretreatment and punching",5,gemtree frp board,2,"board, profile pretreatment and punching",2,routine,4,N/A,0,,structure,1
5,"visual inspection for board, profile pretreatment and punching",6,gypsum board,2,"board, profile pretreatment and punching",2,routine,4,N/A,0,,structure,1
5,"visual inspection for board, profile pretreatment and punching",7,cement board,2,"board, profile pretreatment and punching",2,routine,4,N/A,0,,structure,1
5,"visual inspection for board, profile pretreatment and punching",8,corrugated profile,2,"board, profile pretreatment and punching",2,routine,4,N/A,0,,structure,1
6,visual inspection for 2d panel assembly (butt weld and fillet weld included),9,2d panel,3,2d panel assembly (butt weld and fillet weld included),2,routine,4,N/A,0,,structure,1
6,visual inspection for 2d panel assembly (butt weld and fillet weld included),10,shear stud,3,2d panel assembly (butt weld and fillet weld included),2,routine,4,N/A,0,,structure,1
6,visual inspection for 2d panel assembly (butt weld and fillet weld included),11,composite floor slab,3,2d panel assembly (butt weld and fillet weld included),2,routine,4,N/A,0,,structure,1
7,visual inspection for 2d panel weld test,9,2d panel,4,2d panel weld test,3,100%,4,N/A,1,lab testers,structure,1
8,magnetic particle inspection for 2d panel weld test,9,2d panel,4,2d panel weld test,4,10%,5,magnetizing equipment,1,lab testers,structure,1
9,ultrasonic testing for 2d panel weld test,9,2d panel,4,2d panel weld test,4,10%,6,ultrasonic device,1,lab testers,structure,1
10,hot dip galvanized thickness check for 2d panel hot dip galvanizing treament,9,2d panel,5,2d panel hot dip galvanizing treament,2,routine,7,coating thickness gauge,2,registered structural engineers,structure,1
11,quantity check for welding consumables and electrodes,12,welding rod,6,welding consumables & electrodes,5,each batch,8,inventory checklist,0,,structure,1
11,quantity check for welding consumables and electrodes,13,electrode,6,welding consumables & electrodes,5,each batch,8,inventory checklist,0,,structure,1
11,quantity check for welding consumables and electrodes,14,welding electrode,6,welding consumables & electrodes,5,each batch,8,inventory checklist,0,,structure,1
